"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Xander Bogaerts","Red Sox","TB @ BOS","SS","4.18","1.11",".74",".25",".02",".09",".53",".52",".05",".03",".31",".75","6.28","9.79","7.55","12161"
"Justin Upton","Angels","NYY @ LAA","LF","4.27",".88",".47",".19",".01",".21",".48",".55",".05",".03",".32","1.44","6.33","9.86","7.48","5222"
"Yolmer Sanchez","White Sox","","3B","4.59","1.12",".77",".22",".05",".08",".52",".44",".08",".06",".30",".84","6.24","9.69","7.58","11602"
"Gary Sanchez","Yankees","NYY @ LAA","C","4.31",".90",".50",".18",".00",".21",".49",".57",".02",".01",".33","1.15","6.30","9.83","7.44","11442"
"Buster Posey","Giants","","C","4.34","1.16",".82",".26",".01",".08",".50",".47",".03",".02",".43",".53","6.26","9.72","7.53","9166"
"Delino DeShields","Rangers","TEX @ TOR","CF","4.72",".96",".67",".21",".03",".05",".46",".32",".21",".11",".56","1.14","6.29","9.69","7.54","11379"
"Renato Nunez","Rangers","TEX @ TOR","3B","4.20",".83",".41",".18",".01",".23",".48",".55",".02",".01",".37","1.27","6.30","9.82","7.39","14503"
"Danny Valencia","Orioles","DET @ BAL","3B","4.14",".90",".55",".18",".01",".15",".49",".52",".02",".01",".52",".94","6.28","9.78","7.36","6364"
"Derek Dietrich","Marlins","COL @ MIA","LF","4.58","1.02",".64",".21",".05",".12",".53",".37",".02",".01",".51",".97","6.25","9.66","7.45","10542"
"Jed Lowrie","Athletics","OAK @ HOU","2B","4.53","1.02",".64",".27",".02",".09",".48",".47",".01",".00",".54","1.03","6.25","9.71","7.39","4418"
"J.T. Realmuto","Marlins","COL @ MIA","C","4.47","1.10",".74",".22",".02",".12",".53",".42",".06",".04",".31",".88","6.19","9.60","7.50","11739"
"Welington Castillo","White Sox","","C","4.39","1.03",".68",".21",".00",".14",".48",".56",".01",".01",".38","1.07","6.21","9.68","7.39","3256"
"Kyle Seager","Mariners","SEA @ CLE","3B","4.31",".93",".53",".24",".01",".14",".49",".53",".01",".01",".45",".94","6.24","9.72","7.33","9785"
"Ender Inciarte","Braves","ATL @ PHI","CF","4.76","1.17",".91",".17",".03",".06",".52",".32",".15",".08",".37",".76","6.15","9.49","7.56","4922"
"Paul DeJong","Cardinals","STL @ PIT","SS","4.24",".98",".58",".21",".01",".18",".46",".58",".02",".01",".28","1.25","6.19","9.67","7.38","18015"
"Ehire Adrianza","Twins","CIN @ MIN","SS","3.98",".95",".65",".20",".03",".06",".55",".52",".09",".05",".45",".57","6.21","9.68","7.34","8418"
"Corey Seager","Dodgers","","SS","4.59","1.08",".72",".24",".02",".10",".54",".39",".03",".02",".46",".94","6.20","9.60","7.42","13624"
"Shin-Soo Choo","Rangers","TEX @ TOR","DH","4.61",".87",".56",".17",".01",".13",".48",".45",".06",".04",".62","1.10","6.24","9.68","7.31","3174"
"Evan Longoria","Giants","","3B","4.24","1.04",".66",".25",".02",".11",".47",".59",".02",".01",".33",".80","6.16","9.63","7.34","9368"
"Eduardo Nunez","Red Sox","TB @ BOS","2B","3.96","1.09",".73",".26",".01",".09",".47",".52",".13",".06",".18",".49","6.11","9.52","7.42","6848"
"Chris Taylor","Dodgers","","CF","4.70","1.08",".71",".24",".06",".08",".48",".34",".10",".06",".37","1.15","6.13","9.47","7.46","13757"
"Matt Chapman","Athletics","OAK @ HOU","3B","4.22",".78",".38",".19",".03",".19",".48",".52",".03",".03",".43","1.53","6.20","9.65","7.23","16505"
"Kevin Pillar","Blue Jays","TEX @ TOR","CF","4.13","1.09",".69",".28",".02",".09",".45",".49",".09",".05",".24",".59","6.10","9.48","7.39","12434"
"Marcus Semien","Athletics","OAK @ HOU","SS","4.65",".95",".59",".21",".02",".12",".49",".47",".07",".04",".41","1.36","6.15","9.55","7.31","12533"
"Yolmer Sanchez","White Sox","CWS @ KC","3B","4.61","1.15",".80",".23",".05",".07",".52",".44",".08",".06",".24",".71","6.07","9.43","7.42","11602"
"Derek Fisher","Astros","OAK @ HOU","LF","3.79",".80",".44",".16",".04",".15",".51",".50",".09",".05",".39","1.21","6.15","9.58","7.23","16192"
"Wilson Ramos","Rays","TB @ BOS","C","4.35","1.07",".70",".22",".00",".16",".48",".55",".01",".01",".23",".82","6.08","9.48","7.32","1433"
"Manuel Margot","Padres","NYM @ SD","CF","4.49",".97",".65",".16",".05",".11",".50",".32",".15",".08",".37",".87","6.09","9.40","7.36","14712"
"Chase Utley","Dodgers","LAD @ SF","2B","4.71","1.02",".69",".24",".03",".06",".55",".37",".06",".04",".50",".77","6.11","9.47","7.29","1679"
"Maikel Franco","Phillies","ATL @ PHI","3B","4.07",".91",".53",".17",".01",".19",".45",".60",".01",".00",".30",".72","6.09","9.53","7.21","12179"
"Yasmani Grandal","Dodgers","","C","4.48",".94",".58",".21",".01",".14",".50",".48",".01",".01",".45","1.09","6.11","9.51","7.21","11368"
"Jon Jay","Royals","","LF","4.16","1.08",".81",".20",".03",".03",".49",".45",".06",".04",".55",".57","6.08","9.44","7.28","5227"
"Yadier Molina","Cardinals","STL @ PIT","C","4.36","1.07",".74",".22",".01",".10",".45",".57",".05",".03",".28",".54","6.04","9.43","7.27","7007"
"Joc Pederson","Dodgers","LAD @ SF","LF","4.39",".87",".54",".21",".01",".11",".47",".52",".04",".03",".57",".90","6.12","9.53","7.15","11899"
"Mitch Haniger","Mariners","SEA @ CLE","RF","4.21",".90",".51",".23",".02",".15",".46",".50",".04",".03",".40","1.24","6.09","9.48","7.20","14274"
"Adam Frazier","Pirates","STL @ PIT","DH","4.56","1.10",".78",".21",".04",".06",".49",".34",".11",".08",".39",".72","6.03","9.31","7.34","15223"
"Carlos Gomez","Rays","TB @ BOS","RF","4.45",".93",".53",".25",".01",".14",".46",".46",".08",".04",".32","1.58","6.04","9.39","7.20","4881"
"Josh Bell","Pirates","STL @ PIT","1B","4.25",".90",".56",".18",".03",".13",".49",".50",".03",".02",".46",".92","6.04","9.40","7.11","13145"
"Moises Sierra","Nationals","ARI @ WSH","LF","4.08","1.06",".74",".21",".03",".09",".41",".51",".08",".05",".34",".95","5.97","9.29","7.22","6050"
