Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B,Jose Abreu (10617486),Jose Abreu,10617486,1B,4100,CWS@KC 04/29/2018 02:15PM ET,CWS,8.17
RP,Matt Albers (10617365),Matt Albers,10617365,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,4.24
RP,Pedro Strop (10617373),Pedro Strop,10617373,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,3.91
RP,Boone Logan (10617376),Boone Logan,10617376,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
RP,Fernando Rodriguez Jr. (10617377),Fernando Rodriguez Jr.,10617377,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
RP,Brian Duensing (10617397),Brian Duensing,10617397,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,2.38
RP,Brandon Morrow (10617404),Brandon Morrow,10617404,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,3.28
RP,Jeremy Jeffress (10617405),Jeremy Jeffress,10617405,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,3.66
RP,Steve Cishek (10617432),Steve Cishek,10617432,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,2.65
RP,Mike Montgomery (10617456),Mike Montgomery,10617456,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0.71
RP,Justin Wilson (10617462),Justin Wilson,10617462,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,2.84
RP,Dan Jennings (10617466),Dan Jennings,10617466,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,2.94
RP,Oliver Drake (10617485),Oliver Drake,10617485,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,2.84
SP,Eddie Butler (10617506),Eddie Butler,10617506,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,4.8
C,Willson Contreras (10617530),Willson Contreras,10617530,C,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,6.54
RP,Alec Asher (10617575),Alec Asher,10617575,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
RP,Jacob Barnes (10617588),Jacob Barnes,10617588,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,4.31
RP,Carl Edwards Jr. (10617624),Carl Edwards Jr.,10617624,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,5.16
RP,Luke Farrell (10617628),Luke Farrell,10617628,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,6.65
SP,Brent Suter (10617629),Brent Suter,10617629,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,7.69
SP,Duane Underwood Jr. (10617644),Duane Underwood Jr.,10617644,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
RP,Josh Hader (10617653),Josh Hader,10617653,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,8.77
